,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
resnet18_32x32_512_naive_no,24250141696,46758048,223301640,67108864,46758048,23996088320,0
resnet18_32x32_512_reweight_no,9953290752,46758048,223301640,67108864,46758048,9663703040,0
resnet18_32x32_512_elegant_no,1485067264,46758048,223301640,139411456,46758048,21841920,410753236
resnet50_32x32_256_naive_no,26459993600,102228128,444573704,33554432,102228128,26194059264,0
resnet50_32x32_256_reweight_no,5387547136,102228128,444573704,33554432,102228128,4831866880,0
resnet50_32x32_256_elegant_no,1408196608,102228128,444573704,250060800,102228128,55485440,256586992
resnet152_32x32_128_naive_no,31323001344,240771232,461362184,16777216,240771232,30830546944,0
resnet152_32x32_128_reweight_no,3124556800,240771232,461362184,16777216,240771232,2415933440,0
resnet152_32x32_128_elegant_no,2206832640,240771232,461362184,244568064,240771232,78074368,995907616
bert-base_32x32_32_naive_no,17189936128,433250316,512983688,25165824,431671308,16663904640,0
bert-base_32x32_32_reweight_no,6226978304,433250316,512983688,25165824,431671308,5700870912,0
bert-base_32x32_32_elegant_no,2025568768,433250316,512983688,352420224,431671308,15729280,0
bert-large_32x32_16_naive_no,24672623616,1334329356,681726280,16777216,1332224012,23215866048,0
bert-large_32x32_16_reweight_no,5256750592,1334329356,681726280,16777216,1332224012,3800588672,0
bert-large_32x32_16_elegant_no,4967181824,1334329356,681726280,461439168,1332224012,20709696,0
deepspeech_32x32_16_naive_no,19665219072,999271552,119277832,5308416,999271552,17649991680,0
deepspeech_32x32_16_reweight_no,9570100736,999271552,119277832,5308416,999271552,5033821376,0
deepspeech_32x32_16_elegant_no,9573078016,999271552,119277832,57766912,999271552,38475776,0
gnmt_32x32_16_naive_no,22351885312,1106658304,407347848,131072000,1106658304,19803684864,0
gnmt_32x32_16_reweight_no,5787708928,1106658304,407347848,131072000,1106658304,4196352000,0
gnmt_32x32_16_elegant_no,4049019392,1106658304,407347848,218693632,1106658304,6766592,0
