,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients
resnet18_32x32_512_naive_no,24250141696,46758048,418336776,67108864,46758048,23954407424
resnet18_32x32_512_reweight_no,5130889728,46758048,418336776,67108864,46758048,4831866880
resnet18_32x32_512_elegant_no,597611520,46758048,418336776,139411456,46758048,55265280
resnet18_224x224_256_naive_no,18347756032,46758048,10174834696,1644167168,46758048,12782510080
resnet18_224x224_256_reweight_no,8554723840,46758048,10174834696,1644167168,46758048,2415933440
resnet18_224x224_256_elegant_no,9643609600,46758048,10174834696,3366428672,46758048,832939008
resnet50_32x32_256_naive_no,26459993600,102228128,899655688,33554432,102228128,26177544192
resnet50_32x32_256_reweight_no,2976346624,102228128,899655688,33554432,102228128,2415948800
resnet50_32x32_256_elegant_no,1207327744,102228128,899655688,250060800,102228128,72197120
resnet50_224x224_128_naive_no,21570172416,102228128,21966607368,822083584,102228128,13491425280
resnet50_224x224_128_reweight_no,12460372992,102228128,21966607368,822083584,102228128,1207974400
resnet50_224x224_128_elegant_no,17579644928,102228128,21966607368,6101913600,102228128,438751744
resnet152_32x32_128_naive_no,31327556096,240771232,927978504,16777216,240771232,30822289408
resnet152_32x32_128_reweight_no,1918956544,240771232,927978504,16777216,240771232,1207974400
resnet152_32x32_128_elegant_no,1952169984,240771232,927978504,244568064,240771232,86430208
resnet152_224x224_64_naive_no,20784612864,240771232,22697994760,411041792,240771232,15612471296
resnet152_224x224_64_reweight_no,12323748864,240771232,22697994760,411041792,240771232,603987200
resnet152_224x224_64_elegant_no,18133728768,240771232,22697994760,5979629568,240771232,244541696
bert-base_32x32_32_naive_no,14956414464,433250316,667132552,25165824,431671308,13813481856
